,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
175,Erinaceus europaeus,Rattus norvegicus,0.266741,0.0,25,12,138227771,157641967,35.23760603795942,41.14000337454406
176,Erinaceus europaeus,Cavia porcellus,0.271635,0.0,25,12,138227771,152628324,35.23760603795942,38.58365568505605
177,Felis catus,Canis lupus familiaris,0.171882,0.0,25,12,163304671,151719617,41.29783220895761,40.749768610252154
178,Felis catus,Equus caballus,0.195015,0.0,25,12,163304671,163861668,41.29783220895761,40.82579448687693
179,Felis catus,Bos taurus,0.230916,0.0,25,12,163304671,153295999,41.29783220895761,41.42254341828584
180,Felis catus,Oryctolagus cuniculus,0.229588,0.0,25,12,163304671,159967302,41.29783220895761,42.28037946782452
181,Felis catus,Rattus norvegicus,0.227704,0.0,25,12,163304671,157641967,41.29783220895761,41.14000337454406
182,Felis catus,Cavia porcellus,0.231664,0.0,25,12,163304671,152628324,41.29783220895761,38.58365568505605
183,Canis lupus familiaris,Equus caballus,0.191266,0.0,25,12,151719617,163861668,40.749768610252154,40.82579448687693
184,Canis lupus familiaris,Bos taurus,0.226677,0.0,25,12,151719617,153295999,40.749768610252154,41.42254341828584
185,Canis lupus familiaris,Oryctolagus cuniculus,0.224655,0.0,25,12,151719617,159967302,40.749768610252154,42.28037946782452
186,Canis lupus familiaris,Rattus norvegicus,0.224341,0.0,25,12,151719617,157641967,40.749768610252154,41.14000337454406
187,Canis lupus familiaris,Cavia porcellus,0.227387,0.0,25,12,151719617,152628324,40.749768610252154,38.58365568505605
188,Equus caballus,Bos taurus,0.229822,0.0,25,12,163861668,153295999,40.82579448687693,41.42254341828584
189,Equus caballus,Oryctolagus cuniculus,0.2298,0.0,25,12,163861668,159967302,40.82579448687693,42.28037946782452
190,Equus caballus,Rattus norvegicus,0.22917,0.0,25,12,163861668,157641967,40.82579448687693,41.14000337454406
191,Equus caballus,Cavia porcellus,0.231822,0.0,25,12,163861668,152628324,40.82579448687693,38.58365568505605
192,Bos taurus,Oryctolagus cuniculus,0.256641,0.0,25,12,153295999,159967302,41.42254341828584,42.28037946782452
193,Bos taurus,Rattus norvegicus,0.253843,0.0,25,12,153295999,157641967,41.42254341828584,41.14000337454406
194,Bos taurus,Cavia porcellus,0.256811,0.0,25,12,153295999,152628324,41.42254341828584,38.58365568505605
195,Oryctolagus cuniculus,Rattus norvegicus,0.248886,0.0,25,12,159967302,157641967,42.28037946782452,41.14000337454406
196,Oryctolagus cuniculus,Cavia porcellus,0.251338,0.0,25,12,159967302,152628324,42.28037946782452,38.58365568505605
197,Rattus norvegicus,Cavia porcellus,0.241071,0.0,25,12,157641967,152628324,41.14000337454406,38.58365568505605
198,Otolemur garnettii,Homo sapiens subsp. Denisova,0.125118,0.0,50,6,24576,24576,38.013368451217595,38.559771286613994
199,Otolemur garnettii,Tupaia belangeri,0.164089,0.0,50,6,24576,24576,38.013368451217595,39.90564559866216
200,Otolemur garnettii,Sorex araneus,0.140797,0.0,50,6,24576,24576,38.013368451217595,38.310947587616624
201,Otolemur garnettii,Erinaceus europaeus,0.161165,0.0,50,6,24576,24576,38.013368451217595,35.23760603795942
202,Otolemur garnettii,Felis catus,0.138169,0.0,50,6,24576,24576,38.013368451217595,41.29783220895761
203,Otolemur garnettii,Canis lupus familiaris,0.129544,0.0,50,6,24576,24576,38.013368451217595,40.749768610252154
204,Otolemur garnettii,Equus caballus,0.101757,0.0,50,6,24576,24576,38.013368451217595,40.82579448687693
205,Otolemur garnettii,Bos taurus,0.155564,0.0,50,6,24576,24576,38.013368451217595,41.42254341828584
206,Otolemur garnettii,Oryctolagus cuniculus,0.143385,0.0,50,6,24576,24576,38.013368451217595,42.28037946782452
