taxon1,taxon2,distance
Sphingobium herbicidovorans,Laribacter hongkongensis,2328.26642
Sphingobium herbicidovorans,Helicobacter mustelae,2849.0299999999997
Sphingobium herbicidovorans,Campylobacter ureolyticus,2849.0299999999997
Sphingobium herbicidovorans,Parachlamydia acanthamoebae,3000.0
Sphingobium herbicidovorans,Chlamydia pecorum,3000.0
Sphingobium herbicidovorans,Tenacibaculum dicentrarchi,2999.9999999999995
Sphingobium herbicidovorans,Ornithobacterium rhinotracheale,2999.9999999999995
Sphingobium herbicidovorans,Niabella soli,2999.9999999999995
Sphingobium herbicidovorans,Dyadobacter fermentans,2999.9999999999995
Sphingobium herbicidovorans,Cyclobacterium marinum,2999.9999999999995
Sphingobium herbicidovorans,Prochlorococcus,3194.17114
Sphingobium herbicidovorans,Spiroplasma taiwanense,3194.17114
Sphingobium herbicidovorans,Mycoplasma crocodyli,3194.17114
Sphingobium herbicidovorans,Mycoplasmopsis canis,3194.17114
Sphingobium herbicidovorans,Salisediminibacterium selenitireducens,3194.17114
Sphingobium herbicidovorans,Staphylococcus succinus,3194.17114
Sphingobium herbicidovorans,Staphylococcus xylosus,3194.17114
Sphingobium herbicidovorans,Lactobacillus gallinarum,3194.17114
Sphingobium herbicidovorans,Lactobacillus amylovorus,3194.17114
Sphingobium herbicidovorans,Thermoanaerobacter italicus,3194.17114
Sphingobium herbicidovorans,Desulfitobacterium hafniense DCB-2,3194.17114
Sphingobium herbicidovorans,Oscillibacter valericigenes,3194.17114
Sphingobium herbicidovorans,Selenomonas sputigena,3194.17114
Sphingobium herbicidovorans,Halothermothrix orenii,3194.17114
Sphingobium herbicidovorans,Halobacteroides halobius,3194.17114
Sphingobium herbicidovorans,Mycobacterium colombiense,3194.17114
Sphingobium herbicidovorans,Thermobispora bispora,3194.17114
Sphingobium herbicidovorans,Nocardiopsis alba,3194.17114
Sphingobium herbicidovorans,Tessaracoccus flavescens,3194.17114
Sphingobium herbicidovorans,Nocardia brasiliensis,3194.17114
Sphingobium herbicidovorans,Lentzea albidocapillata,3194.17114
Sphingobium herbicidovorans,Saccharothrix espanaensis,3194.17114
Sphingobium herbicidovorans,Cryobacterium arcticum,3194.17114
Sphingobium herbicidovorans,Actinomyces oris,3194.17114
Sphingobium herbicidovorans,Methanobacterium congolense,4250.0
Sphingobium herbicidovorans,Methanobacterium lacus,4250.0
Sphingobium herbicidovorans,Methanosphaera stadtmanae,4250.0
Sphingobium herbicidovorans,Methanobacterium formicicum,4250.0
Sphingobium herbicidovorans,Methanobrevibacter millerae,4250.0
Sphingobium herbicidovorans,Methanococcus aeolicus,4250.0
Sphingobium herbicidovorans,Methanococcus voltae,4250.0
Sphingobium herbicidovorans,Natronococcus occultus,4250.0
Sphingobium herbicidovorans,Natronobacterium gregoryi,4250.0
Sphingobium herbicidovorans,Natrinema pellirubrum,4250.0
Sphingobium herbicidovorans,Haloterrigena daqingensis,4250.0
Sphingobium herbicidovorans,Natrialba magadii,4250.0
Sphingobium herbicidovorans,Haloferax mediterranei,4250.0
Sphingobium herbicidovorans,Halorubrum lacusprofundi,4250.0
Sphingobium herbicidovorans,Halorhabdus utahensis,4250.0
