Corynebacterium callunae
Corynebacterium efficiens
Corynebacterium doosanense
Corynebacterium maris
Corynebacterium halotolerans
Corynebacterium marinum
Corynebacterium humireducens
Corynebacterium argentoratense
Corynebacterium aquilae
Corynebacterium epidermidicanis
Corynebacterium mustelae
Corynebacterium diphtheriae
Corynebacterium kutscheri
Corynebacterium pseudotuberculosis
Corynebacterium testudinoris
Corynebacterium kroppenstedtii
Corynebacterium variabile
Corynebacterium terpenotabidum
Corynebacterium resistens
Corynebacterium jeikeium
Corynebacterium urealyticum
Corynebacterium lactis
Corynebacterium sphenisci
Micrococcus luteus
Neomicrococcus aestuarii
Devriesea agamarum
Glutamicibacter arilaitensis
Pseudarthrobacter phenanthrenivorans
Pseudarthrobacter chlorophenolicus
Arthrobacter alpinus
Paenarthrobacter aurescens
Pseudarthrobacter sulfonivorans
Renibacterium salmoninarum
Kocuria flava
Kocuria rhizophila
Kocuria palustris
Rothia dentocariosa
Rothia mucilaginosa
Sinomonas atrocyanea
Brevibacterium aurantiacum
Brevibacterium linens
Nocardia farcinica
Hoyosella subflava
Mycobacterium haemophilum
Mycobacterium colombiense
Mycobacterium avium subsp. avium
Mycobacterium avium subsp. silvaticum
Mycobacterium avium subsp. paratuberculosis
Mycobacterium kansasii
Mycobacterium tuberculosis variant pinnipedii
Mycobacterium tuberculosis variant caprae
Mycobacterium tuberculosis variant africanum
Mycobacterium tuberculosis variant microti
Mycobacterium marinum
Mycolicibacterium rhodesiae
Mycolicibacterium gilvum
Mycolicibacterium phlei
Mycolicibacterium aurum
Mycolicibacterium vanbaalenii
Mycolicibacterium vaccae
Mycobacterium goodii
Mycolicibacterium chubuense
Mycolicibacterium fortuitum subsp. fortuitum
Mycolicibacterium fortuitum subsp. acetamidolyticum
Mycolicibacterium neoaurum
Mycobacteroides chelonae
Frankia
Thermobispora bispora
Streptosporangium roseum
Thermomonospora curvata
Thermobifida fusca
Nocardiopsis alba
Nocardiopsis dassonvillei
Streptomyces avermitilis
Streptomyces lincolnensis
Pimelobacter simplex
Nocardioides dokdonensis
Aeromicrobium erythreum
Acidipropionibacterium acidipropionici
